,idx,target,captions,path
0,0,1,there is a large white plane that is sitting on the runway,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0732456.jpg
1,1,1,araflane plane on the runway at an airport with a building in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0788947.jpg
2,2,1,arafly parked airplane on runway with mountains in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0056297.jpg
3,3,1,arafed airplane on a runway with a sky background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0942001.jpg
4,4,1,arafly parked white airplane on runway with trees in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1605155.jpg
5,5,1,arafed cargo plane on runway with grass and trees in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1284239.jpg
6,6,1,arafed jetliner on runway with building in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0443893.jpg
7,7,1,arafed airplane on the runway with a cloudy sky in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0853774.jpg
8,8,1,there is a large red and white airplane on the runway,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1514487.jpg
9,9,1,araflane plane on the runway at an airport with mountains in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0056299.jpg
10,10,1,arafed airplane on the runway with a sky background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1107747.jpg
11,11,1,arafed airplane on the runway with a red and white tail,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1726606.jpg
12,12,1,arafed passenger jet on runway with mountains in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0977347.jpg
13,13,1,there is a large airplane that is on the runway in the rain,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1022382.jpg
14,14,1,arafly painted airplane on runway with grass and trees in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0842381.jpg
15,15,1,araflane on the runway of an airport with a clear blue sky,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0829998.jpg
16,16,1,arafed air new zealand airplane on runway with grass and trees in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1146172.jpg
17,17,1,arafed airplane on the runway with a cloudy sky in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1264479.jpg
18,18,1,araflane on the runway of an airport with a map on the tail,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0448006.jpg
19,19,1,arafly parked airplane on the runway in the desert,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0494862.jpg
20,20,1,araflane on the runway of an airport with a sky background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0458643.jpg
21,21,1,araflane on the runway of an airport with a blue and white plane,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1197395.jpg
22,22,1,arafed british airways plane parked on grass in front of a building,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0979376.jpg
23,23,1,arafly shot of a large passenger jet taking off from an airport runway,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1606594.jpg
24,24,1,arafed passenger jet on runway with building in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1543529.jpg
25,25,1,araflane on the runway of an airport with a sky background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1143409.jpg
26,26,1,arafed commercial airplane on runway with landing gear down,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1006793.jpg
27,27,1,arafed airplane on the runway with mountains in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/2188618.jpg
28,28,1,arafly parked airplane on a runway with a sky background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1548405.jpg
29,29,1,arafed airplane on the runway with trees in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1362802.jpg
30,30,1,arafly painted airplane on runway with mountains in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0487358.jpg
31,31,1,araflane on the tarmac of an airport with people watching,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1763802.jpg
32,32,1,there is a large airplane that is sitting on the runway,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1296896.jpg
33,33,1,arafed airplane on the runway with a cloudy sky in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0928792.jpg
34,34,1,arafly shot of a united airlines airplane taking off from the runway,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1976400.jpg
35,35,1,arafly painted airplane on runway with grass and sky in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0081597.jpg
36,36,1,arafly painted airplane on runway with trees in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1555985.jpg
37,37,1,arafly white and red airplane on runway with grass and trees,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0684605.jpg
38,38,1,araflane on the runway of an airport with a united airlines plane,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1294490.jpg
39,39,1,araf air plane on runway with grass and mountains in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0829999.jpg
40,40,1,arafed blue and white airplane on runway with grass and lights,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1313348.jpg
41,41,1,araflane taking off from the runway at an airport,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1413233.jpg
42,42,1,araflane plane on the runway at an airport with a building in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0967855.jpg
43,43,1,there is a large white airplane on the runway at the airport,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0980196.jpg
44,44,1,arafed airplane on the runway at an airport with a sky background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0894380.jpg
45,45,1,there is a large white airplane that is sitting on the runway,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0771164.jpg
46,46,1,there is a large airplane that is on the runway with smoke coming out of it,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0939497.jpg
47,47,1,arafian jet airliner on runway with grassy area in foreground,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1382524.jpg
48,48,1,arafly parked commercial airplane on runway with grass and blue sky,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1564943.jpg
49,49,1,arafly white airplane taking off from an airport runway,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/2026597.jpg
50,50,1,arafed yellow and blue airplane on runway with grass and sky,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1763666.jpg
51,51,1,arafed white and blue jet airliner on runway with trees in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0728390.jpg
52,52,1,araflane jet on runway with grass and trees in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1560579.jpg
53,53,1,there is a large jetliner that is sitting on the runway,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0469140.jpg
54,54,1,arafly painted airplane on runway with mountains in background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1059090.jpg
55,55,1,arafly painted airplane on runway with birds flying in the background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1259152.jpg
56,56,1,arafed jetliner on runway with landing gear down and a few people on the ground,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1150188.jpg
57,57,1,araflane on the runway of an airport with a cloudy sky,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1230223.jpg
58,58,1,arafed airplane on the runway at an airport with a sky background,/shared/lisabdunlap/vl-attention/data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0458661.jpg
