,idx,target,captions,path
0,0,1,people are swimming in the water near a pier with a bird flying over them,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg
1,1,1,there is a bird flying over the beach with a person walking on the beach,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg
2,2,1,arafed bird flying over a grassy hill with a view of a bay,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg
3,3,1,there is a bird with a long beak sitting on the ground,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg
4,4,1,there is a bird flying over a lake with a mountain in the background,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg
5,5,1,arafed bird flying over the beach at sunset with the sun setting,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg
6,6,1,arafed bird flying over a fence at sunset with the sun setting,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg
7,7,1,araffe flying over the rocks in front of the ocean,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg
8,8,1,arafed image of a man standing on a rock with a dog,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg
9,9,1,there is a duck that is floating in the water,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg
10,10,1,there is a large bird that is flying over the water,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg
11,11,1,araffe flying over a lake at sunset with a bird in the air,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg
12,12,1,araffe flying over a beach with a girl on the beach,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg
13,13,1,there is a bird that is flying over a bridge in the woods,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg
14,14,1,there is a duck that is sitting in the water,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg
15,15,1,people on a boat in the ocean with a giant octopus on the side,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg
16,16,1,there is a bird flying over a body of water near a beach,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg
17,17,1,there is a bird flying over the water with a lot of birds,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg
18,18,1,arafed pigeon flying in the night sky with its wings spread,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg
19,19,1,arafed duck flying over the ocean at sunset with a red sky,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg
